City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,aswan,24.0934,32.907,22.61,26,0,2.06,EG,1674848430
116,atuona,-9.8,-139.0333,26.08,74,67,9.29,PF,1674848431
117,puerto escondido,15.85,-97.0667,29.46,61,0,2.57,MX,1674848431
118,khatanga,71.9667,102.5,-23.19,88,100,7.64,RU,1674848432
119,ponta do sol,32.6667,-17.1,16.35,66,27,3.95,PT,1674848432
120,chitral,35.8462,71.7858,-2.86,42,69,3.62,PK,1674848433
121,lavrentiya,65.5833,-171.0,-18.48,98,84,3.25,RU,1674848433
122,las palmas,28.4204,-14.0131,15.44,67,40,7.2,ES,1674848434
123,ornskoldsvik,63.2909,18.7153,-1.47,80,40,2.57,SE,1674848434
124,kaitangata,-46.2817,169.8464,11.54,65,2,1.1,NZ,1674848434
125,qaanaaq,77.484,-69.3632,-18.52,94,100,2.34,GL,1674848435
126,narsaq,60.9167,-46.05,2.12,97,100,7.26,GL,1674848435
127,inongo,-1.95,18.2667,22.81,89,100,2.49,CD,1674848436
128,shizilu,35.1711,118.8289,-5.67,37,0,2.4,CN,1674848436
129,nikolskoye,59.7035,30.7861,-2.06,97,28,1.13,RU,1674848436
130,oranjemund,-28.55,16.4333,17.29,95,4,3.59,NA,1674848437
131,atbasar,51.8,68.3333,-12.97,83,11,6.91,KZ,1674848437
132,fremont,37.5483,-121.9886,17.05,63,0,2.06,US,1674848422
133,katobu,-4.9408,122.5276,24.27,91,95,0.7,ID,1674848438
134,bambous virieux,-20.3428,57.7575,25.68,94,75,1.03,MU,1674848438
135,itarema,-2.9248,-39.9167,27.42,71,100,5.92,BR,1674848439
136,buala,-8.145,159.5921,26.68,81,70,2.09,SB,1674848439
137,yar-sale,66.8333,70.8333,-16.59,98,35,3.01,RU,1674848439
138,hobart,-42.8794,147.3294,17.92,67,75,6.69,AU,1674848440
139,pringsewu,-5.3582,104.9744,23.58,95,100,0.49,ID,1674848440
140,port alfred,-33.5906,26.891,21.21,90,0,0.89,ZA,1674848441
141,akdepe,42.0551,59.3788,-6.95,53,0,2.7,TM,1674848441
142,acapulco,16.8634,-99.8901,28.9,65,0,3.09,MX,1674848162
143,castro,-24.7911,-50.0119,26.65,58,10,2.1,BR,1674848441
144,beloha,-25.1667,45.05,23.66,93,100,5.89,MG,1674848442
145,gold coast,-28.0,153.4333,23.33,97,68,1.03,AU,1674848297
146,honningsvag,70.9821,25.9704,0.86,93,100,9.26,NO,1674848442
147,port hardy,50.6996,-127.4199,7.1,87,75,4.63,CA,1674848443
148,laguna,38.421,-121.4238,17.58,63,0,1.54,US,1674848443
149,bonito,-21.1211,-56.4819,35.5,31,23,1.12,BR,1674848444
150,moose factory,51.2585,-80.6094,-16.0,71,40,4.63,CA,1674848444
151,ribeira grande,38.5167,-28.7,14.22,72,75,5.36,PT,1674848444
152,esperance,-33.8667,121.9,16.11,59,74,2.91,AU,1674848445
153,palafrugell,41.9174,3.1631,7.48,35,47,4.47,ES,1674848445
154,chokurdakh,70.6333,147.9167,-29.72,97,5,4.09,RU,1674848445
155,bredasdorp,-34.5322,20.0403,19.29,80,2,1.1,ZA,1674848446
156,mahebourg,-20.4081,57.7,25.7,94,75,1.03,MU,1674848447
157,yellowknife,62.456,-114.3525,-27.47,76,20,6.71,CA,1674848272
158,hampton,37.0299,-76.3452,9.47,44,75,6.17,US,1674848217
159,lobito,-12.3481,13.5456,26.37,80,62,0.54,AO,1674848447
160,bengkulu,-3.8004,102.2655,24.34,88,100,5.75,ID,1674848448
161,teguldet,57.3064,88.1667,-9.77,92,100,4.75,RU,1674848448
162,maltahohe,-24.8333,16.9833,26.36,37,100,5.36,NA,1674848448
163,road town,18.4167,-64.6167,28.05,57,20,4.12,VG,1674848449
164,the valley,18.217,-63.0578,27.92,47,20,5.14,AI,1674848449
165,bubaque,11.2833,-15.8333,25.08,73,60,5.14,GW,1674848449
166,victoria,22.2855,114.1577,12.96,34,99,7.6,HK,1674848450
167,makakilo city,21.3469,-158.0858,23.18,63,0,5.66,US,1674848450
168,longyearbyen,78.2186,15.6401,-9.09,67,100,12.35,SJ,1674848451
169,paamiut,61.994,-49.6678,2.18,75,100,20.15,GL,1674848451
170,grand baie,-20.0182,57.5802,25.81,90,100,2.8,MU,1674848452
171,samarai,-10.6167,150.6667,27.83,79,99,5.73,PG,1674848452
172,ahuimanu,21.4447,-157.8378,23.84,69,75,6.69,US,1674848452
173,pitiquito,30.7,-112.0833,17.02,18,73,0.14,MX,1674848453
174,gondanglegi,-7.7479,112.0132,23.81,92,100,1.61,ID,1674848453
175,lompoc,34.6391,-120.4579,17.79,56,0,4.92,US,1674848454
176,qasigiannguit,68.8193,-51.1922,-11.86,68,100,5.27,GL,1674848454
177,beringovskiy,63.05,179.3167,-10.83,95,100,1.43,RU,1674848454
178,aasiaat,68.7098,-52.8699,-13.22,64,100,12.16,GL,1674848455
179,pangnirtung,66.1451,-65.7125,-29.0,76,40,6.17,CA,1674848455
180,yuli,9.6989,10.2744,28.7,13,100,1.2,NG,1674848456
